"성별(1)","손상부위별(1)",손상부위별(2),2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022,2023,2023
"성별(1)","손상부위별(1)",손상부위별(2),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%),퇴원환자수 (명),분율 (%)
"전체","다발성",소계,3712.0,0.4,2700.0,0.3,3981.0,0.4,13571*,1.3,12543*,1.2,13320*,1.2,13146*,1.2,9973.0,0.9,7901.0,0.7,8053.0,0.7,5944.0,0.5,4071.7,0.4,3817.3,0.4,2490.3,0.3,2432.9,0.3,1332.0,0.1,2200.3,0.2
"전체","전신성",소계,34792.0,3.9,34226.0,3.7,35257.0,3.7,30553.0,2.9,29064.0,2.8,30692.0,2.8,32366.0,3.0,32331.0,3.0,29761.0,2.7,28547.0,2.6,26221.0,2.3,28928.3,2.6,26789.2,2.5,25022.9,2.6,22971.5,2.7,23257.7,2.2,24852.2,2.2
"전체","상세불명",소계,2213*,0.2,2543*,0.3,2140.0,0.2,3597.0,0.3,2680.0,0.3,2864*,0.3,3625*,0.3,4566*,0.4,5098*,0.5,5255*,0.5,3772*,0.3,6683.3*,0.6,5389.0,0.5,3826.1,0.4,3478.0,0.4,2846.0,0.3,2519.0,0.2
"남자","전체",소계,545378.0,100.0,551698.0,100.0,565626.0,100.0,615779.0,100.0,601121.0,100.0,633814.0,100.0,623347.0,100.0,618314.0,100.0,630502.0,100.0,603252.0,100.0,615016.0,100.0,588902.4,100.0,572235.8,100.0,510735.7,100.0,452544.7,100.0,534490.7,100.0,566221.4,100.0
"남자","머리, 목",소계,142593.0,26.1,140659.0,25.5,144314.0,25.5,152524.0,24.8,143835.0,23.9,148239.0,23.4,135998.0,21.8,129597.0,21.0,130174.0,20.6,113848.0,18.9,110216.0,17.9,105512.7,17.9,107534.4,18.8,90535.3,17.7,81926.2,18.1,91454.2,17.1,95692.9,16.9
"남자","머리, 목",두개골내,101157.0,18.5,94982.0,17.2,97839.0,17.3,101173.0,16.4,96984.0,16.1,101542.0,16.0,92934.0,14.9,86712.0,14.0,88488.0,14.0,76818.0,12.7,78353.0,12.7,72910.6,12.4,77374.6,13.5,64837.4,12.7,60391.7,13.3,69207.4,12.9,73343.2,13.0
"남자","머리, 목",기타 머리,34204.0,6.3,37646.0,6.8,37842.0,6.7,42304.0,6.9,38788.0,6.5,38673.0,6.1,35754.0,5.7,35319.0,5.7,34525.0,5.5,31131.0,5.2,28568.0,4.6,26652.3,4.5,24412.2,4.3,21069.1,4.1,17724.5,3.9,20647.1,3.9,19812.9,3.5
"남자","머리, 목",목,2999.0,0.5,2542.0,0.5,2634.0,0.5,2900.0,0.5,3088*,0.5,3013.0,0.5,3310.0,0.5,2970.0,0.5,2602.0,0.4,1900.0,0.3,1323.0,0.2,1602.2,0.3,2020.7,0.4,1369.8,0.3,1253.4,0.3,990.4,0.2,1321.2,0.2
"남자","머리, 목",기타 머리 목,4233*,0.8,5489*,1.0,5999*,1.1,6147*,1.0,4975*,0.8,5011*,0.8,4000*,0.6,4596*,0.7,4559*,0.7,3999*,0.7,1972.0,0.3,4347.7*,0.7,3726.9,0.7,3259.1,0.6,2556.6,0.6,609.4,0.1,1215.6,0.2
"남자","척추, 등",소계,109537.0,20.1,110295.0,20.0,114800.0,20.3,119487.0,19.4,116122.0,19.3,124976.0,19.7,120325.0,19.3,119428.0,19.3,117978.0,18.7,119305.0,19.8,116001.0,18.9,110692.0,18.8,104298.0,18.2,85621.9,16.8,68610.6,15.2,76041.0,14.2,87833.4,15.5
